"model","analysis","estimate","estimate.lb","estimate.ub","tau2","Q","I2","phi"
"twostep_binorm","original",0.292091960438571,0.257272987357364,0.32953251306281,0.280187295179797,158.737596159529,57.0843264254273,NA
"onestep_bi_rand","original",0.253128355380582,0.215943288224435,0.294313043016962,0.459987616964801,158.32943772069,68.5902868715752,NA
"twostep_binorm","no_small",0.282482567690617,0.242387034312279,0.326353594785419,0.299585472255735,136.260082423626,68.2956258809281,NA
"onestep_bi_rand","no_small",0.260980394993988,0.220985226846799,0.305376578014915,0.393291211317264,136.170265361768,73.8761555295731,NA
"twostep_binorm","no_zeros",0.29217675261327,0.254650639112855,0.33276395809928,0.28019557891275,158.332190157444,60.8652676982423,NA
"onestep_bi_rand","no_zeros",0.283523292526626,0.246550684008322,0.32365859352853,0.334989488315007,158.332192955102,65.0278503804437,NA
"twostep_binorm","sga_only",0.274110487488979,0.247778746156366,0.302116643300844,0,47.8451272078288,0,NA
"onestep_bi_rand","sga_only",0.2410859508046,0.206981634756411,0.278833799514994,0.132776236190935,47.6111709143239,41.3809940869988,NA
"twostep_binorm","gold_standard",0.29478174975173,0.239787033730412,0.356475011680213,0.0352208416389695,23.0454216809144,12.2952321532289,NA
"onestep_bi_rand","gold_standard",0.276725680904818,0.215021936548737,0.348280054219403,0.251696880241121,22.9671514510255,50.0455700375846,NA
"twostep_binorm","no_extreme",0.308318993050375,0.277066107943407,0.341432228238583,0.0210912130805677,32.2474232758702,5.19002155312565,NA
"onestep_bi_rand","no_extreme",0.278721797328365,0.243058327819573,0.317423708421445,0.0302307241738411,31.837594244194,7.27540307260829,NA
"twostep_binorm","smallgenomes",0.234052486528699,0.206331927387681,0.264257273500911,0,12.2523317689373,0,NA
"onestep_bi_rand","smallgenomes",0.205955334987593,0.1692562134882,0.248234053082436,0,11.6505454621695,0,NA
"twostep_binorm","largegenomes",0.324863015129816,0.272395591118824,0.382128893428849,0.116570175358853,26.4587468916709,16.1896756717807,NA
"onestep_bi_rand","largegenomes",0.262865991625928,0.200427020611541,0.33656868948062,0.29919284907671,26.1133908095514,33.1460335689268,NA
